Unnamed: 0,formula_id,category,token_range,token_count,latex_formula,url,modality,transcription_text,ssml_text,survey_id,item_order,formula_row,respondent_id,annotation,formula_match,difficult_parts,pauses_helpful,emphasis_helpful,speech_rate_helpful,explanatory_info_helpful,timestamp,sounded clear,pronounced the words correctly,sounded natural,was comfortable to listen to throughout the survey,sounded like a real teacher,Gender,Age Group,Nationality,Highest Educational Degree,Which area best describes your field of study?,Mathematical Background,English Proficiency,Device Used to Complete the Survey,Audio Equipment used,audio_duration_sec
19,https://en.wikipedia.org/wiki/Color-flavor_locking|{\displaystyle \langle \psi _{i}^{\alpha }C\gamma _{5}\psi _{j}^{\beta }\rangle \propto \delta _{i}^{\alpha }\delta _{j}^{\beta }-\delta _{j}^{\alpha }\delta _{i}^{\beta }=\epsilon ^{\alpha \beta A}\epsilon _{ijA}},Physics,31-40,35,{\displaystyle \langle \psi _{i}^{\alpha }C\gamma _{5}\psi _{j}^{\beta }\rangle \propto \delta _{i}^{\alpha }\delta _{j}^{\beta }-\delta _{j}^{\alpha }\delta _{i}^{\beta }=\epsilon ^{\alpha \beta A}\epsilon _{ijA}},https://en.wikipedia.org/wiki/Color-flavor_locking,standard,"open Angle bracket, psi sub i superscript alpha, capital C, gamma five, psi sub j superscript beta, close angle bracket, is proportional to delta sub i superscript alpha, delta sub j superscript beta, minus delta sub j superscript alpha, delta sub i superscript beta, equals epsilon superscript alpha beta capital A, epsilon subscript i j capital A.","<prosody rate=""slow"">open Angle bracket, <break time=""200ms""/> psi sub i superscript alpha, <break time=""150ms""/> capital C, <break time=""150ms""/> <emphasis>gamma five</emphasis>, <break time=""150ms""/> psi sub j superscript beta, <break time=""200ms""/> close angle bracket, <break time=""250ms""/> is proportional to <break time=""250ms""/> delta sub i superscript alpha, <break time=""150ms""/> delta sub j superscript beta, <break time=""200ms""/> minus <break time=""200ms""/> delta sub j superscript alpha, <break time=""150ms""/> delta sub i superscript beta, <break time=""250ms""/> equals <break time=""250ms""/> epsilon superscript alpha beta capital A, <break time=""150ms""/> epsilon subscript i j capital A.</prosody>",2,1,20,study2_r3,20A,2,"Brackets and grouping (e.g. ""(..)"" or ""{..}"");Superscripts and exponents;Subscripts and indices",2,2,2,,2026/07/04 3:24:07 PM OESZ,4,5,4,4,2,Male,35-44,Germany,Master's Degree (or comparable university degree),Computer Science,"Advanced university mathematics (proofs, abstract algebra, advanced calculus, etc.)",Advanced (C1),Smartphone,Earbuds,32.78366666666667
19,https://en.wikipedia.org/wiki/Color-flavor_locking|{\displaystyle \langle \psi _{i}^{\alpha }C\gamma _{5}\psi _{j}^{\beta }\rangle \propto \delta _{i}^{\alpha }\delta _{j}^{\beta }-\delta _{j}^{\alpha }\delta _{i}^{\beta }=\epsilon ^{\alpha \beta A}\epsilon _{ijA}},Physics,31-40,35,{\displaystyle \langle \psi _{i}^{\alpha }C\gamma _{5}\psi _{j}^{\beta }\rangle \propto \delta _{i}^{\alpha }\delta _{j}^{\beta }-\delta _{j}^{\alpha }\delta _{i}^{\beta }=\epsilon ^{\alpha \beta A}\epsilon _{ijA}},https://en.wikipedia.org/wiki/Color-flavor_locking,standard,"open Angle bracket, psi sub i superscript alpha, capital C, gamma five, psi sub j superscript beta, close angle bracket, is proportional to delta sub i superscript alpha, delta sub j superscript beta, minus delta sub j superscript alpha, delta sub i superscript beta, equals epsilon superscript alpha beta capital A, epsilon subscript i j capital A.","<prosody rate=""slow"">open Angle bracket, <break time=""200ms""/> psi sub i superscript alpha, <break time=""150ms""/> capital C, <break time=""150ms""/> <emphasis>gamma five</emphasis>, <break time=""150ms""/> psi sub j superscript beta, <break time=""200ms""/> close angle bracket, <break time=""250ms""/> is proportional to <break time=""250ms""/> delta sub i superscript alpha, <break time=""150ms""/> delta sub j superscript beta, <break time=""200ms""/> minus <break time=""200ms""/> delta sub j superscript alpha, <break time=""150ms""/> delta sub i superscript beta, <break time=""250ms""/> equals <break time=""250ms""/> epsilon superscript alpha beta capital A, <break time=""150ms""/> epsilon subscript i j capital A.</prosody>",2,1,20,study2_r4,20A,2,Superscripts and exponents;Subscripts and indices;Greek letters;Capitalization,1,2,1,,2026/07/05 4:31:01 PM OESZ,4,4,3,3,2,Male,25-34,Germany,Master's Degree (or comparable university degree),Mathematics;Statistics;Computer Science,"Advanced university mathematics (proofs, abstract algebra, advanced calculus, etc.)",Advanced (C1),Laptop,External speakers,32.78366666666667
19,https://en.wikipedia.org/wiki/Color-flavor_locking|{\displaystyle \langle \psi _{i}^{\alpha }C\gamma _{5}\psi _{j}^{\beta }\rangle \propto \delta _{i}^{\alpha }\delta _{j}^{\beta }-\delta _{j}^{\alpha }\delta _{i}^{\beta }=\epsilon ^{\alpha \beta A}\epsilon _{ijA}},Physics,31-40,35,{\displaystyle \langle \psi _{i}^{\alpha }C\gamma _{5}\psi _{j}^{\beta }\rangle \propto \delta _{i}^{\alpha }\delta _{j}^{\beta }-\delta _{j}^{\alpha }\delta _{i}^{\beta }=\epsilon ^{\alpha \beta A}\epsilon _{ijA}},https://en.wikipedia.org/wiki/Color-flavor_locking,standard,"open Angle bracket, psi sub i superscript alpha, capital C, gamma five, psi sub j superscript beta, close angle bracket, is proportional to delta sub i superscript alpha, delta sub j superscript beta, minus delta sub j superscript alpha, delta sub i superscript beta, equals epsilon superscript alpha beta capital A, epsilon subscript i j capital A.","<prosody rate=""slow"">open Angle bracket, <break time=""200ms""/> psi sub i superscript alpha, <break time=""150ms""/> capital C, <break time=""150ms""/> <emphasis>gamma five</emphasis>, <break time=""150ms""/> psi sub j superscript beta, <break time=""200ms""/> close angle bracket, <break time=""250ms""/> is proportional to <break time=""250ms""/> delta sub i superscript alpha, <break time=""150ms""/> delta sub j superscript beta, <break time=""200ms""/> minus <break time=""200ms""/> delta sub j superscript alpha, <break time=""150ms""/> delta sub i superscript beta, <break time=""250ms""/> equals <break time=""250ms""/> epsilon superscript alpha beta capital A, <break time=""150ms""/> epsilon subscript i j capital A.</prosody>",2,1,20,study2_r5,20A,3,"Brackets and grouping (e.g. ""(..)"" or ""{..}"");Superscripts and exponents;Subscripts and indices",3,4,3,,2026/07/14 12:58:15 AM OESZ,4,4,3,3,3,Male,25-34,Germany,Bachelor's Degree (or comparable university degree),Computer Science,"Advanced university mathematics (proofs, abstract algebra, advanced calculus, etc.)",Intermediate (B1-B2),Desktop computer,Headphones,32.78366666666667
2,https://en.wikipedia.org/wiki/Albion_process|{\displaystyle MS_{2}+{\frac {1}{2}}O_{2}+H_{2}SO_{4}\rightarrow MSO_{4}+S^{0}+H_{2}O},Chemistry,21-30,25,{\displaystyle MS_{2}+{\frac {1}{2}}O_{2}+H_{2}SO_{4}\rightarrow MSO_{4}+S^{0}+H_{2}O},https://en.wikipedia.org/wiki/Albion_process,standard,"upper M upper S sub two, plus, one half upper O sub two, plus, upper H sub two, upper S upper O sub four, yields, shown as right arrow, upper M upper S upper O sub four, plus, upper S superscript zero, plus, upper H sub two, upper O.","<speak><prosody rate=""medium"">upper M upper S sub two,<break time=""250ms""/> plus,<break time=""250ms""/> one half upper O sub two,<break time=""250ms""/> plus,<break time=""250ms""/> upper H sub two,<break time=""200ms""/> upper S upper O sub four,<break time=""350ms""/> <emphasis>yields, shown as right arrow,</emphasis><break time=""350ms""/> upper M upper S upper O sub four,<break time=""250ms""/> plus,<break time=""250ms""/> upper S superscript zero,<break time=""250ms""/> plus,<break time=""250ms""/> upper H sub two,<break time=""200ms""/> upper O.</prosody></speak>",2,2,3,study2_r1,3A,2,Subscripts and indices;Capitalization,3,3,1,,2026/06/26 7:03:35 PM OESZ,4,5,3,4,3,Male,18-24,Germany,Bachelor's Degree (or comparable university degree),Mathematics;Statistics;Economics,"Undergraduate-level mathematics (calculus, matrices, vectors, statistics)",Advanced (C1),Tablet,Earbuds,19.826833333333333
2,https://en.wikipedia.org/wiki/Albion_process|{\displaystyle MS_{2}+{\frac {1}{2}}O_{2}+H_{2}SO_{4}\rightarrow MSO_{4}+S^{0}+H_{2}O},Chemistry,21-30,25,{\displaystyle MS_{2}+{\frac {1}{2}}O_{2}+H_{2}SO_{4}\rightarrow MSO_{4}+S^{0}+H_{2}O},https://en.wikipedia.org/wiki/Albion_process,standard,"upper M upper S sub two, plus, one half upper O sub two, plus, upper H sub two, upper S upper O sub four, yields, shown as right arrow, upper M upper S upper O sub four, plus, upper S superscript zero, plus, upper H sub two, upper O.","<speak><prosody rate=""medium"">upper M upper S sub two,<break time=""250ms""/> plus,<break time=""250ms""/> one half upper O sub two,<break time=""250ms""/> plus,<break time=""250ms""/> upper H sub two,<break time=""200ms""/> upper S upper O sub four,<break time=""350ms""/> <emphasis>yields, shown as right arrow,</emphasis><break time=""350ms""/> upper M upper S upper O sub four,<break time=""250ms""/> plus,<break time=""250ms""/> upper S superscript zero,<break time=""250ms""/> plus,<break time=""250ms""/> upper H sub two,<break time=""200ms""/> upper O.</prosody></speak>",2,2,3,study2_r2,3A,2,Arrow,2,2,1,,2026/07/01 12:42:36 PM OESZ,3,4,2,3,2,Male,25-34,Germany,Master's Degree (or comparable university degree),Computer Science,"Advanced university mathematics (proofs, abstract algebra, advanced calculus, etc.)",Advanced (C1),Laptop,Headphones,19.826833333333333
2,https://en.wikipedia.org/wiki/Albion_process|{\displaystyle MS_{2}+{\frac {1}{2}}O_{2}+H_{2}SO_{4}\rightarrow MSO_{4}+S^{0}+H_{2}O},Chemistry,21-30,25,{\displaystyle MS_{2}+{\frac {1}{2}}O_{2}+H_{2}SO_{4}\rightarrow MSO_{4}+S^{0}+H_{2}O},https://en.wikipedia.org/wiki/Albion_process,standard,"upper M upper S sub two, plus, one half upper O sub two, plus, upper H sub two, upper S upper O sub four, yields, shown as right arrow, upper M upper S upper O sub four, plus, upper S superscript zero, plus, upper H sub two, upper O.","<speak><prosody rate=""medium"">upper M upper S sub two,<break time=""250ms""/> plus,<break time=""250ms""/> one half upper O sub two,<break time=""250ms""/> plus,<break time=""250ms""/> upper H sub two,<break time=""200ms""/> upper S upper O sub four,<break time=""350ms""/> <emphasis>yields, shown as right arrow,</emphasis><break time=""350ms""/> upper M upper S upper O sub four,<break time=""250ms""/> plus,<break time=""250ms""/> upper S superscript zero,<break time=""250ms""/> plus,<break time=""250ms""/> upper H sub two,<break time=""200ms""/> upper O.</prosody></speak>",2,2,3,study2_r3,3A,3,Subscripts and indices;Capitalization,2,3,1,,2026/07/04 3:24:07 PM OESZ,4,5,4,4,2,Male,35-44,Germany,Master's Degree (or comparable university degree),Computer Science,"Advanced university mathematics (proofs, abstract algebra, advanced calculus, etc.)",Advanced (C1),Smartphone,Earbuds,19.826833333333333
2,https://en.wikipedia.org/wiki/Albion_process|{\displaystyle MS_{2}+{\frac {1}{2}}O_{2}+H_{2}SO_{4}\rightarrow MSO_{4}+S^{0}+H_{2}O},Chemistry,21-30,25,{\displaystyle MS_{2}+{\frac {1}{2}}O_{2}+H_{2}SO_{4}\rightarrow MSO_{4}+S^{0}+H_{2}O},https://en.wikipedia.org/wiki/Albion_process,standard,"upper M upper S sub two, plus, one half upper O sub two, plus, upper H sub two, upper S upper O sub four, yields, shown as right arrow, upper M upper S upper O sub four, plus, upper S superscript zero, plus, upper H sub two, upper O.","<speak><prosody rate=""medium"">upper M upper S sub two,<break time=""250ms""/> plus,<break time=""250ms""/> one half upper O sub two,<break time=""250ms""/> plus,<break time=""250ms""/> upper H sub two,<break time=""200ms""/> upper S upper O sub four,<break time=""350ms""/> <emphasis>yields, shown as right arrow,</emphasis><break time=""350ms""/> upper M upper S upper O sub four,<break time=""250ms""/> plus,<break time=""250ms""/> upper S superscript zero,<break time=""250ms""/> plus,<break time=""250ms""/> upper H sub two,<break time=""200ms""/> upper O.</prosody></speak>",2,2,3,study2_r4,3A,2,Subscripts and indices;Capitalization,2,2,1,,2026/07/05 4:31:01 PM OESZ,4,4,3,3,2,Male,25-34,Germany,Master's Degree (or comparable university degree),Mathematics;Statistics;Computer Science,"Advanced university mathematics (proofs, abstract algebra, advanced calculus, etc.)",Advanced (C1),Laptop,External speakers,19.826833333333333
2,https://en.wikipedia.org/wiki/Albion_process|{\displaystyle MS_{2}+{\frac {1}{2}}O_{2}+H_{2}SO_{4}\rightarrow MSO_{4}+S^{0}+H_{2}O},Chemistry,21-30,25,{\displaystyle MS_{2}+{\frac {1}{2}}O_{2}+H_{2}SO_{4}\rightarrow MSO_{4}+S^{0}+H_{2}O},https://en.wikipedia.org/wiki/Albion_process,standard,"upper M upper S sub two, plus, one half upper O sub two, plus, upper H sub two, upper S upper O sub four, yields, shown as right arrow, upper M upper S upper O sub four, plus, upper S superscript zero, plus, upper H sub two, upper O.","<speak><prosody rate=""medium"">upper M upper S sub two,<break time=""250ms""/> plus,<break time=""250ms""/> one half upper O sub two,<break time=""250ms""/> plus,<break time=""250ms""/> upper H sub two,<break time=""200ms""/> upper S upper O sub four,<break time=""350ms""/> <emphasis>yields, shown as right arrow,</emphasis><break time=""350ms""/> upper M upper S upper O sub four,<break time=""250ms""/> plus,<break time=""250ms""/> upper S superscript zero,<break time=""250ms""/> plus,<break time=""250ms""/> upper H sub two,<break time=""200ms""/> upper O.</prosody></speak>",2,2,3,study2_r5,3A,2,Subscripts and indices;Latin letters;Capitalization,2,3,1,,2026/07/14 12:58:15 AM OESZ,4,4,3,3,3,Male,25-34,Germany,Bachelor's Degree (or comparable university degree),Computer Science,"Advanced university mathematics (proofs, abstract algebra, advanced calculus, etc.)",Intermediate (B1-B2),Desktop computer,Headphones,19.826833333333333
46,"http://en.wikipedia.org/wiki/Frisch-Waugh-Lovell_theorem|M_{X_1} Y = M_{X_1} X_2 \beta_2 + M_{X_1} u \!,",Statistics,21-30,26,"M_{X_1} Y = M_{X_1} X_2 \beta_2 + M_{X_1} u \!,",http://en.wikipedia.org/wiki/Frisch-Waugh-Lovell_theorem,extended,"Capital M sub, capital X sub one, capital Y, equals capital M sub, capital X sub one, capital X sub two, beta sub two, plus capital M sub, capital X sub one, u, where capital M sub, capital X sub one, is the annihilator matrix that projects onto the orthogonal complement of the column space of capital X sub one.","<prosody rate=""slow"">Capital M sub, capital X sub one, capital Y, <break time=""250ms""/> equals <break time=""250ms""/> capital M sub, capital X sub one, capital X sub two, <emphasis>beta sub two</emphasis>, <break time=""250ms""/> plus <break time=""250ms""/> capital M sub, capital X sub one, <emphasis>u</emphasis>,</prosody> <break time=""350ms""/> <prosody rate=""medium"">where <emphasis>capital M sub, capital X sub one</emphasis>, is the annihilator matrix that projects onto the orthogonal complement of the column space of capital X sub one.</prosody>",2,3,23,study2_r1,23B,2,Subscripts and indices;Capitalization,3,2,2,2.0,2026/06/26 7:03:35 PM OESZ,4,5,3,4,3,Male,18-24,Germany,Bachelor's Degree (or comparable university degree),Mathematics;Statistics;Economics,"Undergraduate-level mathematics (calculus, matrices, vectors, statistics)",Advanced (C1),Tablet,Earbuds,26.9845
46,"http://en.wikipedia.org/wiki/Frisch-Waugh-Lovell_theorem|M_{X_1} Y = M_{X_1} X_2 \beta_2 + M_{X_1} u \!,",Statistics,21-30,26,"M_{X_1} Y = M_{X_1} X_2 \beta_2 + M_{X_1} u \!,",http://en.wikipedia.org/wiki/Frisch-Waugh-Lovell_theorem,extended,"Capital M sub, capital X sub one, capital Y, equals capital M sub, capital X sub one, capital X sub two, beta sub two, plus capital M sub, capital X sub one, u, where capital M sub, capital X sub one, is the annihilator matrix that projects onto the orthogonal complement of the column space of capital X sub one.","<prosody rate=""slow"">Capital M sub, capital X sub one, capital Y, <break time=""250ms""/> equals <break time=""250ms""/> capital M sub, capital X sub one, capital X sub two, <emphasis>beta sub two</emphasis>, <break time=""250ms""/> plus <break time=""250ms""/> capital M sub, capital X sub one, <emphasis>u</emphasis>,</prosody> <break time=""350ms""/> <prosody rate=""medium"">where <emphasis>capital M sub, capital X sub one</emphasis>, is the annihilator matrix that projects onto the orthogonal complement of the column space of capital X sub one.</prosody>",2,3,23,study2_r2,23B,3,Subscripts and indices;Capitalization,2,3,3,2.0,2026/07/01 12:42:36 PM OESZ,3,4,2,3,2,Male,25-34,Germany,Master's Degree (or comparable university degree),Computer Science,"Advanced university mathematics (proofs, abstract algebra, advanced calculus, etc.)",Advanced (C1),Laptop,Headphones,26.9845
46,"http://en.wikipedia.org/wiki/Frisch-Waugh-Lovell_theorem|M_{X_1} Y = M_{X_1} X_2 \beta_2 + M_{X_1} u \!,",Statistics,21-30,26,"M_{X_1} Y = M_{X_1} X_2 \beta_2 + M_{X_1} u \!,",http://en.wikipedia.org/wiki/Frisch-Waugh-Lovell_theorem,extended,"Capital M sub, capital X sub one, capital Y, equals capital M sub, capital X sub one, capital X sub two, beta sub two, plus capital M sub, capital X sub one, u, where capital M sub, capital X sub one, is the annihilator matrix that projects onto the orthogonal complement of the column space of capital X sub one.","<prosody rate=""slow"">Capital M sub, capital X sub one, capital Y, <break time=""250ms""/> equals <break time=""250ms""/> capital M sub, capital X sub one, capital X sub two, <emphasis>beta sub two</emphasis>, <break time=""250ms""/> plus <break time=""250ms""/> capital M sub, capital X sub one, <emphasis>u</emphasis>,</prosody> <break time=""350ms""/> <prosody rate=""medium"">where <emphasis>capital M sub, capital X sub one</emphasis>, is the annihilator matrix that projects onto the orthogonal complement of the column space of capital X sub one.</prosody>",2,3,23,study2_r3,23B,3,Subscripts and indices;Capitalization,2,3,2,3.0,2026/07/04 3:24:07 PM OESZ,4,5,4,4,2,Male,35-44,Germany,Master's Degree (or comparable university degree),Computer Science,"Advanced university mathematics (proofs, abstract algebra, advanced calculus, etc.)",Advanced (C1),Smartphone,Earbuds,26.9845
46,"http://en.wikipedia.org/wiki/Frisch-Waugh-Lovell_theorem|M_{X_1} Y = M_{X_1} X_2 \beta_2 + M_{X_1} u \!,",Statistics,21-30,26,"M_{X_1} Y = M_{X_1} X_2 \beta_2 + M_{X_1} u \!,",http://en.wikipedia.org/wiki/Frisch-Waugh-Lovell_theorem,extended,"Capital M sub, capital X sub one, capital Y, equals capital M sub, capital X sub one, capital X sub two, beta sub two, plus capital M sub, capital X sub one, u, where capital M sub, capital X sub one, is the annihilator matrix that projects onto the orthogonal complement of the column space of capital X sub one.","<prosody rate=""slow"">Capital M sub, capital X sub one, capital Y, <break time=""250ms""/> equals <break time=""250ms""/> capital M sub, capital X sub one, capital X sub two, <emphasis>beta sub two</emphasis>, <break time=""250ms""/> plus <break time=""250ms""/> capital M sub, capital X sub one, <emphasis>u</emphasis>,</prosody> <break time=""350ms""/> <prosody rate=""medium"">where <emphasis>capital M sub, capital X sub one</emphasis>, is the annihilator matrix that projects onto the orthogonal complement of the column space of capital X sub one.</prosody>",2,3,23,study2_r4,23B,2,Subscripts and indices;Capitalization,2,2,2,2.0,2026/07/05 4:31:01 PM OESZ,4,4,3,3,2,Male,25-34,Germany,Master's Degree (or comparable university degree),Mathematics;Statistics;Computer Science,"Advanced university mathematics (proofs, abstract algebra, advanced calculus, etc.)",Advanced (C1),Laptop,External speakers,26.9845
46,"http://en.wikipedia.org/wiki/Frisch-Waugh-Lovell_theorem|M_{X_1} Y = M_{X_1} X_2 \beta_2 + M_{X_1} u \!,",Statistics,21-30,26,"M_{X_1} Y = M_{X_1} X_2 \beta_2 + M_{X_1} u \!,",http://en.wikipedia.org/wiki/Frisch-Waugh-Lovell_theorem,extended,"Capital M sub, capital X sub one, capital Y, equals capital M sub, capital X sub one, capital X sub two, beta sub two, plus capital M sub, capital X sub one, u, where capital M sub, capital X sub one, is the annihilator matrix that projects onto the orthogonal complement of the column space of capital X sub one.","<prosody rate=""slow"">Capital M sub, capital X sub one, capital Y, <break time=""250ms""/> equals <break time=""250ms""/> capital M sub, capital X sub one, capital X sub two, <emphasis>beta sub two</emphasis>, <break time=""250ms""/> plus <break time=""250ms""/> capital M sub, capital X sub one, <emphasis>u</emphasis>,</prosody> <break time=""350ms""/> <prosody rate=""medium"">where <emphasis>capital M sub, capital X sub one</emphasis>, is the annihilator matrix that projects onto the orthogonal complement of the column space of capital X sub one.</prosody>",2,3,23,study2_r5,23B,3,Subscripts and indices;Capitalization,2,4,4,3.0,2026/07/14 12:58:15 AM OESZ,4,4,3,3,3,Male,25-34,Germany,Bachelor's Degree (or comparable university degree),Computer Science,"Advanced university mathematics (proofs, abstract algebra, advanced calculus, etc.)",Intermediate (B1-B2),Desktop computer,Headphones,26.9845
4,https://en.wikipedia.org/wiki/Pairwise_sorting_network|{\displaystyle (\log n)(\log n+1)/2},Computer Science,1-10,10,{\displaystyle (\log n)(\log n+1)/2},https://en.wikipedia.org/wiki/Pairwise_sorting_network,standard,"Open parenthesis, log n, close parenthesis, times, open parenthesis, log n plus one, close parenthesis, divided by two.","<prosody rate=""slow"">Open parenthesis,<break time=""200ms""/> <emphasis level=""moderate"">log n</emphasis>,<break time=""200ms""/> close parenthesis,<break time=""250ms""/> times,<break time=""250ms""/> open parenthesis,<break time=""200ms""/> <emphasis level=""moderate"">log n plus one</emphasis>,<break time=""200ms""/> close parenthesis,<break time=""300ms""/> divided by two.</prosody>",2,4,5,study2_r1,5A,5,Nothing was difficult,4,4,5,,2026/06/26 7:03:35 PM OESZ,4,5,3,4,3,Male,18-24,Germany,Bachelor's Degree (or comparable university degree),Mathematics;Statistics;Economics,"Undergraduate-level mathematics (calculus, matrices, vectors, statistics)",Advanced (C1),Tablet,Earbuds,13.296333333333333
4,https://en.wikipedia.org/wiki/Pairwise_sorting_network|{\displaystyle (\log n)(\log n+1)/2},Computer Science,1-10,10,{\displaystyle (\log n)(\log n+1)/2},https://en.wikipedia.org/wiki/Pairwise_sorting_network,standard,"Open parenthesis, log n, close parenthesis, times, open parenthesis, log n plus one, close parenthesis, divided by two.","<prosody rate=""slow"">Open parenthesis,<break time=""200ms""/> <emphasis level=""moderate"">log n</emphasis>,<break time=""200ms""/> close parenthesis,<break time=""250ms""/> times,<break time=""250ms""/> open parenthesis,<break time=""200ms""/> <emphasis level=""moderate"">log n plus one</emphasis>,<break time=""200ms""/> close parenthesis,<break time=""300ms""/> divided by two.</prosody>",2,4,5,study2_r2,5A,5,Nothing was difficult,5,4,5,,2026/07/01 12:42:36 PM OESZ,3,4,2,3,2,Male,25-34,Germany,Master's Degree (or comparable university degree),Computer Science,"Advanced university mathematics (proofs, abstract algebra, advanced calculus, etc.)",Advanced (C1),Laptop,Headphones,13.296333333333333
4,https://en.wikipedia.org/wiki/Pairwise_sorting_network|{\displaystyle (\log n)(\log n+1)/2},Computer Science,1-10,10,{\displaystyle (\log n)(\log n+1)/2},https://en.wikipedia.org/wiki/Pairwise_sorting_network,standard,"Open parenthesis, log n, close parenthesis, times, open parenthesis, log n plus one, close parenthesis, divided by two.","<prosody rate=""slow"">Open parenthesis,<break time=""200ms""/> <emphasis level=""moderate"">log n</emphasis>,<break time=""200ms""/> close parenthesis,<break time=""250ms""/> times,<break time=""250ms""/> open parenthesis,<break time=""200ms""/> <emphasis level=""moderate"">log n plus one</emphasis>,<break time=""200ms""/> close parenthesis,<break time=""300ms""/> divided by two.</prosody>",2,4,5,study2_r3,5A,5,Nothing was difficult,5,5,5,,2026/07/04 3:24:07 PM OESZ,4,5,4,4,2,Male,35-44,Germany,Master's Degree (or comparable university degree),Computer Science,"Advanced university mathematics (proofs, abstract algebra, advanced calculus, etc.)",Advanced (C1),Smartphone,Earbuds,13.296333333333333
4,https://en.wikipedia.org/wiki/Pairwise_sorting_network|{\displaystyle (\log n)(\log n+1)/2},Computer Science,1-10,10,{\displaystyle (\log n)(\log n+1)/2},https://en.wikipedia.org/wiki/Pairwise_sorting_network,standard,"Open parenthesis, log n, close parenthesis, times, open parenthesis, log n plus one, close parenthesis, divided by two.","<prosody rate=""slow"">Open parenthesis,<break time=""200ms""/> <emphasis level=""moderate"">log n</emphasis>,<break time=""200ms""/> close parenthesis,<break time=""250ms""/> times,<break time=""250ms""/> open parenthesis,<break time=""200ms""/> <emphasis level=""moderate"">log n plus one</emphasis>,<break time=""200ms""/> close parenthesis,<break time=""300ms""/> divided by two.</prosody>",2,4,5,study2_r4,5A,5,Nothing was difficult,5,5,5,,2026/07/05 4:31:01 PM OESZ,4,4,3,3,2,Male,25-34,Germany,Master's Degree (or comparable university degree),Mathematics;Statistics;Computer Science,"Advanced university mathematics (proofs, abstract algebra, advanced calculus, etc.)",Advanced (C1),Laptop,External speakers,13.296333333333333
4,https://en.wikipedia.org/wiki/Pairwise_sorting_network|{\displaystyle (\log n)(\log n+1)/2},Computer Science,1-10,10,{\displaystyle (\log n)(\log n+1)/2},https://en.wikipedia.org/wiki/Pairwise_sorting_network,standard,"Open parenthesis, log n, close parenthesis, times, open parenthesis, log n plus one, close parenthesis, divided by two.","<prosody rate=""slow"">Open parenthesis,<break time=""200ms""/> <emphasis level=""moderate"">log n</emphasis>,<break time=""200ms""/> close parenthesis,<break time=""250ms""/> times,<break time=""250ms""/> open parenthesis,<break time=""200ms""/> <emphasis level=""moderate"">log n plus one</emphasis>,<break time=""200ms""/> close parenthesis,<break time=""300ms""/> divided by two.</prosody>",2,4,5,study2_r5,5A,5,Nothing was difficult,5,5,5,,2026/07/14 12:58:15 AM OESZ,4,4,3,3,3,Male,25-34,Germany,Bachelor's Degree (or comparable university degree),Computer Science,"Advanced university mathematics (proofs, abstract algebra, advanced calculus, etc.)",Intermediate (B1-B2),Desktop computer,Headphones,13.296333333333333
11,"https://en.wikipedia.org/wiki/Bayesian_game|{\displaystyle S_{i}=\{s_{i}\colon T_{i}\rightarrow A_{i}\mid (s_{i}(t_{i}),t_{i})\in C_{i},\forall t_{i}\}.}",Economics,31-40,35,"{\displaystyle S_{i}=\{s_{i}\colon T_{i}\rightarrow A_{i}\mid (s_{i}(t_{i}),t_{i})\in C_{i},\forall t_{i}\}.}",https://en.wikipedia.org/wiki/Bayesian_game,standard,"Capital S subscript i, equals, open curly brace, s subscript i, colon, capital T subscript i, right arrow, capital A subscript i, vertical bar, for all t subscript i, comma, open parenthesis, s subscript i, open parenthesis, t subscript i, close parenthesis, comma, t subscript i, close parenthesis, is in capital C subscript i, close curly brace","<prosody rate=""slow"">Capital S subscript i, equals,<break time=""300ms""/> open curly brace,<break time=""250ms""/> <emphasis>s subscript i</emphasis>, colon,<break time=""200ms""/> capital T subscript i, right arrow, capital A subscript i,<break time=""250ms""/> vertical bar,<break time=""250ms""/> for all t subscript i, comma,<break time=""250ms""/> open parenthesis,<break time=""150ms""/> s subscript i, open parenthesis, t subscript i, close parenthesis,<break time=""150ms""/> comma,<break time=""150ms""/> t subscript i, close parenthesis,<break time=""250ms""/> is in capital C subscript i,<break time=""200ms""/> close curly brace</prosody>",2,5,12,study2_r1,12A,3,"Brackets and grouping (e.g. ""(..)"" or ""{..}"");Mathematical symbols and operators (e.g. ""+"", ""-"", sum or integral)",2,4,3,,2026/06/26 7:03:35 PM OESZ,4,5,3,4,3,Male,18-24,Germany,Bachelor's Degree (or comparable university degree),Mathematics;Statistics;Economics,"Undergraduate-level mathematics (calculus, matrices, vectors, statistics)",Advanced (C1),Tablet,Earbuds,34.29866666666667
